"StichtagDatJahr","AlterV05Cd","AlterV05Lang","PLZ","AnzBestWir"
1993,30,"30- bis 34-Jährige","8037",1708
1993,30,"30- bis 34-Jährige","8038",1310
1993,30,"30- bis 34-Jährige","8041",292
1993,30,"30- bis 34-Jährige","8044",599
1993,30,"30- bis 34-Jährige","8045",827
1993,30,"30- bis 34-Jährige","8046",1461
1993,30,"30- bis 34-Jährige","8047",1241
1993,30,"30- bis 34-Jährige","8048",2178
1993,30,"30- bis 34-Jährige","8049",1639
1993,30,"30- bis 34-Jährige","8050",1852
1993,30,"30- bis 34-Jährige","8051",1632
1993,30,"30- bis 34-Jährige","8052",1218
1993,30,"30- bis 34-Jährige","8053",696
1993,30,"30- bis 34-Jährige","8055",1484
1993,30,"30- bis 34-Jährige","8057",1568
1993,30,"30- bis 34-Jährige","8063",59
1993,30,"30- bis 34-Jährige","8064",267
1993,30,"30- bis 34-Jährige","8152",1
1993,30,"30- bis 34-Jährige","9999",12
1993,35,"35- bis 39-Jährige","8001",472
1993,35,"35- bis 39-Jährige","8002",662
1993,35,"35- bis 39-Jährige","8003",1785
1993,35,"35- bis 39-Jährige","8004",2431
1993,35,"35- bis 39-Jährige","8005",1048
1993,35,"35- bis 39-Jährige","8006",1478
1993,35,"35- bis 39-Jährige","8008",1321
1993,35,"35- bis 39-Jährige","8032",1365
1993,35,"35- bis 39-Jährige","8037",1359
1993,35,"35- bis 39-Jährige","8038",1110
1993,35,"35- bis 39-Jährige","8041",298
1993,35,"35- bis 39-Jährige","8044",515
1993,35,"35- bis 39-Jährige","8045",724
1993,35,"35- bis 39-Jährige","8046",1407
1993,35,"35- bis 39-Jährige","8047",1074
1993,35,"35- bis 39-Jährige","8048",1803
1993,35,"35- bis 39-Jährige","8049",1362
1993,35,"35- bis 39-Jährige","8050",1589
1993,35,"35- bis 39-Jährige","8051",1444
1993,35,"35- bis 39-Jährige","8052",1044
1993,35,"35- bis 39-Jährige","8053",651
1993,35,"35- bis 39-Jährige","8055",1217
1993,35,"35- bis 39-Jährige","8057",1265
1993,35,"35- bis 39-Jährige","8063",39
1993,35,"35- bis 39-Jährige","8064",296
1993,35,"35- bis 39-Jährige","8152",1
1993,35,"35- bis 39-Jährige","9999",8
1993,40,"40- bis 44-Jährige","8001",427
1993,40,"40- bis 44-Jährige","8002",546
1993,40,"40- bis 44-Jährige","8003",1502
1993,40,"40- bis 44-Jährige","8004",1987
1993,40,"40- bis 44-Jährige","8005",920
1993,40,"40- bis 44-Jährige","8006",1283
1993,40,"40- bis 44-Jährige","8008",1179
1993,40,"40- bis 44-Jährige","8032",1286
1993,40,"40- bis 44-Jährige","8037",1073
1993,40,"40- bis 44-Jährige","8038",1010
1993,40,"40- bis 44-Jährige","8041",353
1993,40,"40- bis 44-Jährige","8044",502
1993,40,"40- bis 44-Jährige","8045",709
1993,40,"40- bis 44-Jährige","8046",1226
1993,40,"40- bis 44-Jährige","8047",969
1993,40,"40- bis 44-Jährige","8048",1683
1993,40,"40- bis 44-Jährige","8049",1318
1993,40,"40- bis 44-Jährige","8050",1366
1993,40,"40- bis 44-Jährige","8051",1337
1993,40,"40- bis 44-Jährige","8052",987
1993,40,"40- bis 44-Jährige","8053",625
1993,40,"40- bis 44-Jährige","8055",1125
1993,40,"40- bis 44-Jährige","8057",1180
1993,40,"40- bis 44-Jährige","8063",27
1993,40,"40- bis 44-Jährige","8064",303
1993,40,"40- bis 44-Jährige","8142",1
1993,40,"40- bis 44-Jährige","9999",9
1993,45,"45- bis 49-Jährige","8001",494
1993,45,"45- bis 49-Jährige","8002",602
1993,45,"45- bis 49-Jährige","8003",1270
1993,45,"45- bis 49-Jährige","8004",1783
1993,45,"45- bis 49-Jährige","8005",750
1993,45,"45- bis 49-Jährige","8006",1336
1993,45,"45- bis 49-Jährige","8008",1105
1993,45,"45- bis 49-Jährige","8032",1234
1993,45,"45- bis 49-Jährige","8037",941
1993,45,"45- bis 49-Jährige","8038",970
1993,45,"45- bis 49-Jährige","8041",372
1993,45,"45- bis 49-Jährige","8044",554
1993,45,"45- bis 49-Jährige","8045",637
1993,45,"45- bis 49-Jährige","8046",1209
1993,45,"45- bis 49-Jährige","8047",1027
1993,45,"45- bis 49-Jährige","8048",1684
1993,45,"45- bis 49-Jährige","8049",1441
1993,45,"45- bis 49-Jährige","8050",1328
1993,45,"45- bis 49-Jährige","8051",1245
1993,45,"45- bis 49-Jährige","8052",1012
1993,45,"45- bis 49-Jährige","8053",723
1993,45,"45- bis 49-Jährige","8055",1133
1993,45,"45- bis 49-Jährige","8057",1090
1993,45,"45- bis 49-Jährige","8063",28
1993,45,"45- bis 49-Jährige","8064",321
1993,45,"45- bis 49-Jährige","8142",1
1993,45,"45- bis 49-Jährige","9999",9
1993,50,"50- bis 54-Jährige","8001",441
1993,50,"50- bis 54-Jährige","8002",525
1993,50,"50- bis 54-Jährige","8003",1014
1993,50,"50- bis 54-Jährige","8004",1475
1993,50,"50- bis 54-Jährige","8005",601
1993,50,"50- bis 54-Jährige","8006",973
1993,50,"50- bis 54-Jährige","8008",967
1993,50,"50- bis 54-Jährige","8032",1081
1993,50,"50- bis 54-Jährige","8037",800
1993,50,"50- bis 54-Jährige","8038",973
1993,50,"50- bis 54-Jährige","8041",311
1993,50,"50- bis 54-Jährige","8044",558
1993,50,"50- bis 54-Jährige","8045",552
1993,50,"50- bis 54-Jährige","8046",1147
1993,50,"50- bis 54-Jährige","8047",980
1993,50,"50- bis 54-Jährige","8048",1525
1993,50,"50- bis 54-Jährige","8049",1378
1993,50,"50- bis 54-Jährige","8050",1144
1993,50,"50- bis 54-Jährige","8051",1136
1993,50,"50- bis 54-Jährige","8052",1034
1993,50,"50- bis 54-Jährige","8053",768
1993,50,"50- bis 54-Jährige","8055",957
1993,50,"50- bis 54-Jährige","8057",1026
1993,50,"50- bis 54-Jährige","8063",24
1993,50,"50- bis 54-Jährige","8064",250
1993,50,"50- bis 54-Jährige","9999",2
1993,55,"55- bis 59-Jährige","8001",320
1993,55,"55- bis 59-Jährige","8002",436
1993,55,"55- bis 59-Jährige","8003",911
1993,55,"55- bis 59-Jährige","8004",1289
1993,55,"55- bis 59-Jährige","8005",552
1993,55,"55- bis 59-Jährige","8006",776
1993,55,"55- bis 59-Jährige","8008",785
1993,55,"55- bis 59-Jährige","8032",878
1993,55,"55- bis 59-Jährige","8037",658
1993,55,"55- bis 59-Jährige","8038",817
1993,55,"55- bis 59-Jährige","8041",310
1993,55,"55- bis 59-Jährige","8044",426
1993,55,"55- bis 59-Jährige","8045",487
1993,55,"55- bis 59-Jährige","8046",1139
1993,55,"55- bis 59-Jährige","8047",1024
1993,55,"55- bis 59-Jährige","8048",1570
1993,55,"55- bis 59-Jährige","8049",1316
1993,55,"55- bis 59-Jährige","8050",1075
1993,55,"55- bis 59-Jährige","8051",1360
1993,55,"55- bis 59-Jährige","8052",951
1993,55,"55- bis 59-Jährige","8053",698
1993,55,"55- bis 59-Jährige","8055",912
1993,55,"55- bis 59-Jährige","8057",942
1993,55,"55- bis 59-Jährige","8063",25
1993,55,"55- bis 59-Jährige","8064",220
1993,55,"55- bis 59-Jährige","9999",6
1993,60,"60- bis 64-Jährige","8001",234
1993,60,"60- bis 64-Jährige","8002",412
1993,60,"60- bis 64-Jährige","8003",858
1993,60,"60- bis 64-Jährige","8004",1180
1993,60,"60- bis 64-Jährige","8005",455
1993,60,"60- bis 64-Jährige","8006",740
1993,60,"60- bis 64-Jährige","8008",742
1993,60,"60- bis 64-Jährige","8032",763
1993,60,"60- bis 64-Jährige","8037",687
1993,60,"60- bis 64-Jährige","8038",934
1993,60,"60- bis 64-Jährige","8041",297
1993,60,"60- bis 64-Jährige","8044",402
1993,60,"60- bis 64-Jährige","8045",439
1993,60,"60- bis 64-Jährige","8046",1157
1993,60,"60- bis 64-Jährige","8047",1148
1993,60,"60- bis 64-Jährige","8048",1494
1993,60,"60- bis 64-Jährige","8049",1272
1993,60,"60- bis 64-Jährige","8050",1096
1993,60,"60- bis 64-Jährige","8051",1421
1993,60,"60- bis 64-Jährige","8052",956
1993,60,"60- bis 64-Jährige","8053",638
1993,60,"60- bis 64-Jährige","8055",939
1993,60,"60- bis 64-Jährige","8057",1032
1993,60,"60- bis 64-Jährige","8063",11
1993,60,"60- bis 64-Jährige","8064",213
1993,60,"60- bis 64-Jährige","8152",1
1993,60,"60- bis 64-Jährige","9999",1
1993,65,"65- bis 69-Jährige","8001",226
1993,65,"65- bis 69-Jährige","8002",414
1993,65,"65- bis 69-Jährige","8003",785
1993,65,"65- bis 69-Jährige","8004",1111
1993,65,"65- bis 69-Jährige","8005",317
1993,65,"65- bis 69-Jährige","8006",750
1993,65,"65- bis 69-Jährige","8008",714
1993,65,"65- bis 69-Jährige","8032",712
1993,65,"65- bis 69-Jährige","8037",700
1993,65,"65- bis 69-Jährige","8038",1019
1993,65,"65- bis 69-Jährige","8041",268
1993,65,"65- bis 69-Jährige","8044",367
1993,65,"65- bis 69-Jährige","8045",437
1993,65,"65- bis 69-Jährige","8046",958
1993,65,"65- bis 69-Jährige","8047",1234
1993,65,"65- bis 69-Jährige","8048",1404
1993,65,"65- bis 69-Jährige","8049",1234
1993,65,"65- bis 69-Jährige","8050",1029
1993,65,"65- bis 69-Jährige","8051",1360
1993,65,"65- bis 69-Jährige","8052",844
1993,65,"65- bis 69-Jährige","8053",605
1993,65,"65- bis 69-Jährige","8055",950
1993,65,"65- bis 69-Jährige","8057",1076
1993,65,"65- bis 69-Jährige","8063",2
1993,65,"65- bis 69-Jährige","8064",155
1993,65,"65- bis 69-Jährige","8134",1
1993,65,"65- bis 69-Jährige","9999",2
1993,70,"70- bis 74-Jährige","8001",163
1993,70,"70- bis 74-Jährige","8002",404
1993,70,"70- bis 74-Jährige","8003",706
1993,70,"70- bis 74-Jährige","8004",919
1993,70,"70- bis 74-Jährige","8005",253
